id,nset1,nset2,nset3,nset4,nset5,nset6,nset7,nset8,nset9,nset10,nset11,nset12,mset1,mset2,mset3,mset4,mset5,mset6,mset7,mset8,mset9,mset10,mset11,mset12,TotAmt,TotTrans
40604,0,0.351851852,0.333333333,0.055555556,0.037037037,0.166666667,0.055555556,0,0,0,0,0,0,0.540579702,0.331884058,0.001449276,0.021739136,0.055072466,0.049275363,0,0,0,0,0,795735.39,54
40611,0,0.882352941,0.058823529,0,0,0,0,0,0.058823529,0,0,0,0,0.859275046,0.136460557,0,0,0,0,0,0.004264398,0,0,0,420120.3,17
40614,0,0.351351351,0,0,0.459459459,0.054054054,0.027027027,0.054054054,0.027027027,0,0,0.027027027,0,0.320999999,0,0,0.412999995,0.025000004,0.035000003,0.130999999,0.001000005,0,0,0.073999996,1039845.05,37
40627,0.014184397,0.659574468,0,0,0.113475177,0.212765957,0,0,0,0,0,0,0.002499999,0.675000001,0,0,0.136250001,0.186249999,0,0,0,0,0,0,3186177.15,141
40655,0,0,0.346153846,0.115384615,0,0,0,0.076923077,0,0.461538462,0,0,0,0,0.930161942,0.024291499,0,0,0,0.016194335,0,0.029352224,0,0,1149036.97,26
40676,0.047619048,0,0.071428571,0,0.547619048,0.261904762,0.071428571,0,0,0,0,0,0.147902872,0,0.360927149,0,0.362030906,0.123620306,0.005518766,0,0,0,0,0,1547786.17,42
40684,0,0.75,0,0.125,0,0.125,0,0,0,0,0,0,0,0.496388028,0,0.394220844,0,0.109391128,0,0,0,0,0,0,338608.63,16
40685,0,0.866666667,0,0.133333333,0,0,0,0,0,0,0,0,0,0.896000005,0,0.103999995,0,0,0,0,0,0,0,0,308107.42,30
40710,0,0.627906977,0,0.023255814,0.046511628,0.302325581,0,0,0,0,0,0,0,0.799999999,0,0.019565216,0.017391305,0.16304348,0,0,0,0,0,0,1997322.19,43
40723,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,0,0,0,0.115884086,0.617382632,0.266733282,0,0,0,0,0,0,0,0,101968.79,6
40735,0,0,0,0,0,0,0,0.333333333,0.166666667,0.5,0,0,0,0,0,0,0,0,0,0.31,0.135,0.555,0,0,272024,24
40741,0,0.166666667,0.041666667,0,0.125,0.041666667,0,0.166666667,0,0.458333333,0,0,0,0.199800222,0.072927058,0,0.213786204,0.028971013,0,0.246753257,0,0.237762246,0,0,253380.85,24
40742,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6467.23,11
40752,0,0.568181818,0,0.113636364,0.011363636,0.136363636,0,0,0,0.147727273,0,0.022727273,0,0.392607396,0,0.169830168,0.011988011,0.062937061,0,0,0,0.271728275,0,0.090909089,1289267.23,88
40753,0.068965517,0.551724138,0.103448276,0,0.034482759,0.068965517,0,0,0,0.172413793,0,0,0.036000001,0.740000015,0.047000013,0,0.040999985,0.076999985,0,0,0,0.059000002,0,0,298686.94,29
40765,0,0,0,0,0,0,0,0.204081633,0,0.795918367,0,0,0,0,0,0,0,0,0,0.428000008,0,0.571999992,0,0,532439.99,49
40782,0,0.423076923,0.019230769,0.076923077,0.173076923,0,0.076923077,0,0,0.230769231,0,0,0,0.270725397,0.006476673,0.180051816,0.327720215,0,0.150259063,0,0,0.064766836,0,0,395207.51,52
40786,0,0,0,0.407407407,0.074074074,0,0,0.074074074,0.037037037,0.407407407,0,0,0,0,0,0.044728424,0.338658147,0,0,0.242811496,0.044728424,0.329073509,0,0,296456.68,27
40802,0.03125,0.109375,0.09375,0.34375,0.125,0.015625,0.203125,0,0.03125,0,0,0.046875,0.034482759,0.124384237,0.12068965,0.020935959,0.137931036,0.035714292,0.444581281,0,0,0,0,0.081280785,764486.1,64
40820,0,0,0,0,0.1,0,0,0.1,0,0.8,0,0,0,0,0,0,0.058076229,0,0,0.157894741,0,0.784029029,0,0,594193.19,20
40825,0,0.857142857,0,0,0,0.071428571,0.071428571,0,0,0,0,0,0,0.865999999,0,0,0,0.082999969,0.051000032,0,0,0,0,0,148528.73,14
40856,0.05,0.85,0,0,0,0,0.05,0.05,0,0,0,0,0.137634408,0.529032259,0,0,0,0,0.126881722,0.206451612,0,0,0,0,342034.53,20
40857,0,0.043478261,0.173913043,0.52173913,0.043478261,0.043478261,0,0.173913043,0,0,0,0,0,0.032085566,0.470588245,0.237967921,0.078876998,0.078876998,0,0.101604273,0,0,0,0,446157.32,23
40870,0,0,0,0.090909091,0,0,0,0,0.090909091,0.818181818,0,0,0,0,0,0.223880595,0,0,0,0,0.37500001,0.401119395,0,0,121110.05,11
40898,0,0,0.571428571,0.428571429,0,0,0,0,0,0,0,0,0,0,0.927000006,0.072999994,0,0,0,0,0,0,0,0,698708,14
40913,0,0.25,0,0,0,0,0,0,0,0,0.75,0,0,0.196801971,0,0,0,0,0,0,0,0,0.803198029,0,209160.71,8
40916,0,0.107142857,0,0,0.285714286,0.035714286,0.142857143,0,0,0.392857143,0,0.035714286,0,0.242203744,0,0,0.318087324,0.059251561,0.23492723,0,0,0.014553005,0,0.130977136,428688.79,28
40934,0,0,0,0,0,0.109090909,0,0,0,0.890909091,0,0,0,0,0,0,0,0.538000004,0,0,0,0.461999996,0,0,426748.38,55
40936,0,0.42,0,0.16,0.14,0.12,0.02,0.1,0.02,0,0,0.02,0,0.439300411,0,0.074074072,0.09259259,0.276748973,0.017489712,0.063786012,0.001028806,0,0,0.034979424,1083741.69,50
40966,0,0.6796875,0,0.0390625,0.125,0.0390625,0,0.09375,0,0,0,0.0234375,0,0.712305028,0,0.019064123,0.04679376,0.01559792,0,0.19930676,0,0,0,0.006932409,2204902.94,128
40969,0,0.93220339,0.016949153,0,0.033898305,0,0,0.016949153,0,0,0,0,0,0.953663796,0.007543104,0,0.035560343,0,0,0.003232758,0,0,0,0,1897683.07,59
40970,0,0,0,0.085714286,0.885714286,0,0.028571429,0,0,0,0,0,0,0,0,0.148584904,0.838443403,0,0.012971693,0,0,0,0,0,909915.92,35
40971,0,0.058823529,0,0.647058824,0,0,0,0,0,0.294117647,0,0,0,0.045999996,0,0.669000003,0,0,0,0,0,0.285000001,0,0,801263.12,17
